"","G45068","G45227","G45123","G45117","G45099","G45071","G45226","G45250","G45108","G45057","G45075","G45092"
"120959",8,8,30,4,71,47,23,24,7,2,8,14
"220927",25,2,17,5,9,24,3,18,30,1,18,10
"701042",20,1,1,1,2,2,1,3,3,3,16,1
"339268",28,24,5,0,2,1,0,8,14,2,2,5
"560555",15,23,9,1,4,6,7,11,2,1,14,13
"64667",1,0,0,0,0,1,1,2,0,1,0,0
"1767",4,5,21,8,10,7,0,16,23,1,32,5
"1764",25,13,20,3,23,7,10,7,10,1,6,5
"1809",18,6,0,1,0,13,3,16,3,7,0,0
"1552759",20,24,10,2,10,7,6,9,7,5,7,6
"29311",8,18,4,2,3,1,1,16,13,2,7,7
"1778",26,7,13,3,8,16,10,12,28,2,5,2
"590652",10,15,7,1,16,0,7,1,6,1,4,0
"482462",36,9,15,4,15,2,10,13,3,1,15,11
"386911",2,0,9,1,4,2,1,0,3,1,0,2
"1789",14,12,13,2,6,1,2,8,3,1,7,7
"1775",24,16,4,4,6,1,2,7,10,1,0,4
"1793",43,4,8,2,19,10,3,1,15,9,1,10
"39695",22,8,8,1,8,4,2,5,21,8,2,1
"39691",44,10,14,3,9,5,20,11,11,7,3,3
"67081",7,11,16,6,24,7,6,20,5,7,11,3
"1772",25,6,11,10,23,16,6,15,16,5,6,5
"36814",34,1,7,3,13,5,4,5,13,3,17,6
"444597",19,5,7,5,7,3,2,4,12,3,10,2
"1800",28,2,1,11,11,4,15,8,11,3,14,3
"258505",37,5,9,3,13,2,2,9,22,3,5,10
"1534348",30,6,26,0,9,19,1,5,4,3,4,4
"126673",9,4,3,3,3,2,0,0,4,3,16,4
"758802",54,12,21,10,54,14,21,23,28,2,14,7
"1810",31,20,9,5,25,4,11,8,24,2,23,10
"1804",28,7,6,3,16,1,10,17,21,2,3,5
"110539",27,18,10,2,13,2,1,13,21,2,7,11
"1791",96,60,8,8,29,9,9,21,19,1,12,7
"1534349",13,3,13,1,8,6,6,8,16,1,12,8
"1794",9,8,3,2,6,5,0,1,2,1,0,1
"134601",13,13,12,4,8,1,4,8,26,1,5,2
"212765",26,13,17,0,8,4,3,7,21,1,10,2
"216929",23,6,2,1,6,2,6,9,13,1,5,0
"639313",20,9,13,2,7,11,25,7,11,58,4,12
"1578165",16,7,20,4,35,24,4,23,7,11,6,11
"36809",25,22,29,8,27,6,14,11,30,3,8,10
"29314",16,1,20,2,27,13,7,4,3,11,12,3
"2080740",17,9,22,6,55,2,1,19,25,17,9,10
"2675218",13,20,13,4,15,24,6,11,6,5,2,1
"2599641",26,0,2,2,5,10,3,12,1,5,15,7
"2675219",11,11,13,3,18,9,6,16,18,4,6,7
"702967",34,14,32,0,9,23,18,22,14,3,11,9
"2754725",22,22,9,9,15,9,68,11,27,2,20,6
"2684406",5,20,16,0,7,5,24,21,15,2,4,3
"2684405",6,5,11,5,2,6,16,7,2,2,1,3
"2675216",21,16,10,3,5,6,2,44,15,1,12,12
"191493",68,16,4,14,28,39,11,15,20,27,11,7
"1697",15,14,26,9,14,8,9,18,18,11,15,2
"1231000",13,18,7,5,7,0,1,22,13,9,3,6
"1721",7,17,10,2,22,11,101,16,7,8,3,8
"1862358",20,5,9,0,4,10,2,5,7,8,14,4
"65058",16,11,12,4,28,32,35,24,34,6,23,4
"43768",18,26,19,4,21,14,8,20,8,5,7,8
"38289",66,34,34,5,28,32,40,24,46,6,9,7
"1724",4,5,9,4,24,17,4,13,8,5,2,3
"2719119",18,7,10,5,5,2,1,16,13,6,3,1
"1719",18,19,14,0,6,8,25,5,2,4,4,3
"136857",22,31,23,3,33,5,4,6,19,4,2,10
"161895",24,20,23,6,12,5,8,5,12,4,9,12
"161899",11,7,9,3,6,29,2,6,20,4,6,5
"1705",3,36,10,3,14,17,28,16,12,4,11,8
"1404244",15,85,7,6,8,12,10,25,7,3,8,4
"1121358",18,11,18,1,8,6,3,16,15,3,5,9
"43771",23,14,11,2,12,12,3,15,4,3,8,4
"38301",48,7,4,2,3,7,3,54,10,3,7,3
"160386",33,20,10,1,7,0,1,17,5,2,5,1
"258224",35,11,25,2,9,1,99,17,1,2,4,3
"1072256",4,26,8,8,21,7,4,24,10,2,2,2
"571915",25,17,11,3,7,10,1,10,4,2,10,8
"43990",25,6,14,5,18,1,13,13,25,1,12,15
"89154",10,10,11,2,9,18,2,7,4,1,14,0
"43770",54,20,9,4,28,11,17,26,25,1,3,21
"42817",8,8,18,56,6,12,2,12,13,1,5,4
"1718",115,94,44,15,60,84,67,150,18,9,13,34
"146827",16,52,22,5,8,14,77,36,27,1,11,8
"161879",17,31,2,1,23,14,76,25,8,1,10,3
"1737425",20,11,11,6,8,3,0,2,20,1,11,5
"1230998",14,9,20,3,21,10,8,21,23,1,1,2
"441500",13,9,11,3,3,2,2,1,10,1,0,5
"1032851",18,18,9,8,13,15,8,9,22,1,8,7
"455432",100,40,20,15,48,13,28,31,28,36,42,9
"1047172",22,23,24,2,31,24,44,21,25,9,14,13
"2755382",38,14,10,4,25,14,7,8,29,1,9,7
"37332",40,55,22,37,13,39,2,59,31,14,18,3
"37326",120,87,45,12,50,48,33,69,62,11,41,37
"135487",116,50,33,8,18,21,14,31,49,7,36,32
"228602",28,19,19,4,9,6,4,13,66,2,4,10
"37330",18,12,18,4,13,11,14,14,20,2,37,13
"1823",42,5,10,15,16,19,8,4,27,2,2,5
"2382165",47,16,20,8,57,20,5,12,13,1,12,4
"1824",26,3,20,6,5,7,4,2,19,1,1,2
"2742603",32,10,8,1,9,15,0,9,9,9,4,1
"1805827",15,6,7,3,13,7,8,2,13,4,10,3
"1564114",7,5,4,6,12,2,1,1,6,4,8,0
"1653479",1,19,0,0,4,1,0,10,10,1,3,1
"1653478",23,6,6,1,15,3,5,15,31,1,2,4
"2567884",12,20,7,3,8,3,2,6,9,1,15,5
"2594007",30,15,1,0,2,1,0,0,2,1,2,6
"2663121",6,28,5,0,4,7,1,17,4,2,0,5
"37919",39,18,22,10,26,40,12,33,30,3,45,2
"1828",9,6,15,6,15,5,6,7,14,2,7,8
"300028",16,14,4,2,32,10,5,4,18,1,0,1
"43767",26,7,18,3,14,6,9,79,30,1,2,5
"2054",33,11,25,6,14,12,9,9,5,19,2,2
"84595",14,12,5,3,11,8,10,13,10,3,6,2
"2420509",22,8,20,1,21,4,6,10,7,2,18,4
"36822",67,3,4,2,42,5,3,14,15,3,0,0
"2055",24,10,2,5,4,10,11,12,29,3,3,12
"2059875",11,13,7,3,4,8,11,10,6,1,1,6
"1136941",40,2,17,4,1,3,1,2,7,1,4,6
"1004901",5,5,11,3,9,9,3,34,12,1,2,1
"2760083",22,66,7,228,40,8,6,111,26,17,17,149
"1528099",41,12,32,2,12,9,37,24,6,2,9,11
"546160",38,7,8,16,7,1,2,2,5,1,1,4
"139021",33,10,6,6,22,6,3,6,21,1,2,1
"57704",26,11,23,4,24,11,2,14,22,2,1,2
"1704044",25,12,20,5,20,8,5,7,6,19,6,20
"290399",6,7,8,5,62,46,16,32,17,21,2,6
"2575374",34,17,16,7,13,9,13,11,27,8,41,12
"904039",34,11,9,0,7,2,3,4,10,7,6,3
"2565366",9,15,6,2,36,16,5,6,13,3,3,5
"1494608",31,10,17,7,14,12,15,30,19,3,9,3
"1849032",25,31,2,6,18,22,3,27,25,2,15,5
"1357915",40,21,10,2,15,22,6,16,26,2,5,5
"656366",56,86,49,20,52,28,93,67,30,29,54,48
"1670",8,26,25,6,16,26,38,20,7,18,37,16
"2211210",53,95,10,8,33,5,12,8,17,3,2,1
"37928",26,18,33,9,25,5,14,27,33,2,6,17
"37921",23,2,6,7,11,2,1,5,11,1,2,1
"2047",27,14,6,9,18,13,52,36,18,25,31,3
"172042",11,16,33,14,17,32,82,31,11,22,22,11
"43675",72,205,55,13,17,52,54,60,85,21,295,22
"169480",3,13,14,8,16,7,79,15,7,14,8,37
"396015",17,12,9,1,7,17,2,19,6,5,11,6
"2590775",31,26,9,4,39,27,1,12,19,23,8,11
"2596911",10,5,10,0,8,40,0,13,21,7,1,4
"2772401",27,6,11,6,18,8,3,4,5,2,4,4
"85085",14,10,17,6,17,4,3,19,9,3,10,3
"361575",46,29,21,8,17,12,0,9,11,2,1,9
"2711329",30,6,8,4,23,1,2,20,9,4,3,12
"1702043",36,24,0,0,12,25,2,18,0,4,4,14
"1275",37,8,18,6,24,2,4,29,29,5,4,6
"1272",11,4,10,7,7,9,1,2,12,3,14,10
"1049583",2,3,6,0,3,10,0,4,5,3,2,118
"388357",44,30,8,6,15,8,6,14,23,2,2,4
"71999",21,9,15,5,13,6,7,8,21,1,10,14
"256701",44,9,4,3,9,5,24,10,10,7,10,0
"162496",22,23,13,9,17,5,20,10,29,2,25,20
"1933880",13,4,10,2,8,7,16,9,13,1,6,0
"556325",8,12,8,4,7,4,8,9,6,2,3,3
"37927",23,17,19,1,14,8,7,19,29,2,7,3
"2600320",18,10,0,3,10,8,9,13,20,2,3,9
"2048898",14,12,5,4,11,5,4,1,14,13,25,2
"2614638",27,3,24,5,11,1,0,40,51,3,3,3
"2483401",21,25,7,11,14,2,8,4,24,2,12,6
"2782166",10,2,11,3,11,2,1,3,35,2,4,3
"2782169",19,8,10,2,15,6,4,11,8,2,11,6
"1714373",66,12,29,2,28,5,5,5,15,1,9,5
"1938334",7,17,3,3,14,6,1,4,10,1,0,2
"2014534",16,41,7,1,4,15,4,18,14,1,7,14
"2567934",16,7,15,8,11,2,3,6,8,1,4,4
"2603598",19,5,0,1,32,0,7,3,4,1,3,10
"2708079",12,5,8,1,10,8,6,16,8,1,2,0
"2709304",11,2,19,1,5,3,7,16,13,1,4,3
"2782167",35,18,8,1,8,5,4,6,16,1,6,2
"2489212",31,3,47,4,27,7,7,9,7,1,2,2
"743009",17,16,5,4,69,26,7,10,9,11,5,2
"162426",66,29,26,7,13,3,5,10,41,6,7,4
"936337",15,20,3,1,9,5,1,48,14,4,2,3
"57043",30,14,13,2,6,10,4,9,16,3,5,0
"1526412",9,28,17,1,2,9,14,5,16,3,6,27
"1072463",23,9,30,2,9,10,15,9,14,2,21,28
"2509458",14,11,15,1,9,17,2,8,8,2,5,3
"104336",47,43,49,9,22,17,19,14,22,2,18,14
"84292",13,4,3,4,13,11,4,3,2,2,4,1
"904291",69,7,15,3,11,4,1,6,2,1,4,0
"69362",24,12,13,2,3,1,3,5,19,1,8,1
"370764",13,25,3,1,5,4,9,3,8,1,1,2
"2033",38,3,10,2,15,7,21,6,9,1,3,7
"273677",72,23,24,6,25,6,3,21,19,1,13,4
"2220095",74,3,60,7,75,58,12,23,6,23,20,10
"1978566",15,26,11,2,39,2,64,7,18,3,2,6
"670052",8,25,16,8,15,35,6,17,41,1,1,4
"683042",13,4,18,2,8,15,11,86,37,10,10,7
"2714935",32,9,24,4,5,1,2,14,7,2,17,5
"2714934",13,6,10,9,4,3,1,1,13,2,2,1
"2714933",7,8,4,2,4,5,0,9,4,2,0,2
"1784719",29,109,15,3,7,1,3,8,9,1,4,2
"2609257",28,18,13,1,8,22,0,1,13,6,4,0
"2609254",9,3,4,1,0,0,5,4,2,2,0,1
"2609253",14,1,8,0,5,0,1,5,5,2,8,1
"110937",26,17,18,2,3,5,0,11,34,4,4,9
"145458",5,24,2,1,0,5,19,3,5,1,5,3
"2735133",36,30,6,2,12,6,13,27,24,15,5,10
"535712",12,5,13,1,8,15,15,7,10,8,1,5
"232537",5,12,17,0,6,11,8,13,0,2,4,4
"2499157",18,1,2,2,9,0,48,21,13,1,2,2
"453304",21,16,50,4,7,9,5,15,9,5,1,9
"2592652",18,3,11,4,43,42,8,19,8,3,22,19
"2585717",11,4,12,0,0,4,13,12,7,1,1,0
"589382",8,5,4,3,4,2,7,8,11,1,2,3
"1619308",58,0,28,6,5,0,0,11,32,5,11,11
"1561023",20,3,18,1,22,21,10,11,8,4,8,2
"2035",28,6,23,0,5,2,4,2,17,1,2,6
"2708338",13,5,15,1,4,3,2,6,6,2,1,4
"2708084",14,16,5,0,6,4,1,9,12,1,7,8
"2079791",26,2,7,1,2,3,5,16,9,1,5,0
"2724914",32,21,15,3,23,18,1,35,17,3,24,3
"1575",101,44,13,2,30,18,10,11,46,1,14,7
"708131",1,1,15,1,0,0,13,9,5,4,0,2
"412690",56,23,41,7,44,15,15,6,19,3,12,5
"28447",90,19,44,19,34,12,13,39,42,2,24,8
"2683590",20,3,12,0,11,6,0,14,42,2,6,3
"2070347",31,4,6,1,1,6,5,4,15,2,3,2
"2419774",73,18,11,1,4,4,1,15,3,1,2,4
"2599293",18,11,11,4,22,2,13,13,19,1,8,3
"2596916",31,3,25,1,0,6,4,2,20,1,8,0
"2079792",3,7,6,3,5,3,1,2,10,1,0,1
"1658671",47,20,15,6,75,40,11,39,28,22,17,6
"1078471",39,0,16,6,4,0,8,8,14,11,5,4
"2508882",12,6,18,8,64,6,21,21,19,3,7,5
"2283195",47,10,20,6,20,12,1,19,17,1,10,4
"2593973",17,10,17,3,17,6,1,5,18,2,3,2
"2761047",15,14,11,0,4,5,0,24,3,2,0,3
"857417",41,4,0,2,4,2,6,10,27,2,6,5
"443156",18,6,8,2,13,14,15,16,17,2,9,3
"1690220",17,5,12,4,16,3,2,11,10,1,3,3
"1813880",15,7,6,2,16,1,4,15,7,1,2,3
"2762331",29,5,9,0,4,5,11,5,6,3,2,2
"1274",17,10,6,4,8,11,28,7,22,5,19,2
"571913",24,1,40,4,31,20,27,12,13,6,2,8
"1276",22,9,6,2,25,3,2,19,54,3,4,1
"629680",20,14,5,3,16,14,34,4,16,13,4,11
"1496080",20,20,18,6,11,14,6,6,0,5,4,3
"2591145",23,13,15,6,13,17,7,14,28,3,4,0
"2003551",85,29,9,2,2,1,0,6,17,2,8,2
"2704467",31,6,7,2,7,3,1,9,3,1,1,4
"2654191",31,14,19,0,18,5,16,8,5,1,5,8
"1708",10,2,4,0,15,2,18,7,10,2,15,2
"2654547",13,4,9,6,8,3,2,11,5,1,2,5
"2171623",60,34,18,0,22,5,6,28,39,10,5,4
"84757",47,6,46,7,11,1,2,13,17,2,8,7
"2571029",43,20,25,3,36,10,7,8,14,2,13,12
"2017485",35,1,15,0,14,6,4,15,18,1,2,2
"556288",61,47,22,3,13,1,2,21,39,1,16,28
"43669",40,19,25,10,16,4,2,8,13,1,12,7
"1630135",51,15,28,3,13,7,0,16,10,2,3,2
"1667168",25,14,46,3,15,87,8,52,13,1,8,10
"100225",16,8,7,3,9,3,5,7,29,5,3,3
"2716227",62,15,12,8,12,5,8,15,26,1,8,2
"2509457",25,16,9,8,8,3,2,21,15,2,8,0
"1906273",21,8,13,0,0,0,0,0,2,1,2,0
"372663",18,22,3,19,24,16,1,4,10,1,2,3
"2509459",21,15,6,0,11,4,3,14,8,1,5,7
"2675754",35,5,13,3,32,7,7,11,31,5,7,5
"2585135",20,9,16,3,12,8,5,7,7,2,17,2
"2589797",46,18,17,1,13,4,2,17,14,1,4,0
"2714931",40,3,5,2,6,0,60,27,30,1,14,1
"43674",9,11,8,3,14,3,4,16,10,1,3,4
"2039",8,5,9,0,1,2,0,17,12,1,0,1
"2582905",48,5,4,11,23,3,10,6,43,43,0,14
"2575373",6,18,9,1,3,2,5,13,6,2,5,8
"2714939",29,22,13,4,16,7,2,21,20,2,4,9
"196162",36,23,12,10,13,2,3,21,13,2,5,6
"2486272",15,11,16,2,11,11,7,7,11,1,1,2
"2662361",19,51,10,4,14,35,2,2,16,1,7,1
"2663857",35,15,3,4,32,0,7,2,16,1,5,4
"2714938",23,8,8,3,7,6,1,32,20,1,1,2
"2589074",18,17,15,2,22,9,3,2,5,1,2,2
"433659",14,8,11,11,44,27,7,21,13,13,4,7
"1643322",23,19,31,17,46,20,18,16,6,6,7,4
"449461",45,21,16,9,60,24,10,10,13,2,7,5
"2712223",34,6,21,3,12,3,5,20,19,1,24,2
"1804624",16,4,1,1,4,0,1,5,13,1,1,0
"402297",17,23,5,0,8,1,4,16,20,1,4,6
"182640",52,25,23,6,14,23,8,7,19,39,5,7
"1544730",35,18,34,3,59,19,8,25,17,6,19,11
"2079793",8,14,8,8,34,21,11,10,13,15,12,0
"2663859",16,2,13,4,3,1,0,2,11,4,1,2
"2107713",6,3,11,5,17,3,6,5,6,3,0,1
"2041",32,5,12,2,8,1,2,4,19,1,6,2
"2708082",39,21,18,3,22,1,2,14,14,2,6,2
"2045",64,14,11,2,22,6,0,7,26,1,10,4
"117157",33,21,21,5,25,6,7,20,18,1,3,8
"1750",29,79,30,27,47,42,29,54,28,50,39,47
"2161816",32,22,50,1,56,45,41,28,35,12,22,6
"399497",61,43,42,10,29,9,10,28,21,6,15,12
"1285901",62,28,22,3,48,9,10,15,24,4,1,4
"1332264",68,15,11,7,10,4,5,11,19,1,3,1
"1871034",32,70,227,11,20,33,65,47,29,24,22,22
"33011",10,10,32,5,34,41,8,17,12,14,17,11
"1747",38,26,27,2,24,7,16,29,24,6,22,9
"2057246",40,38,13,8,24,15,31,10,27,3,12,14
"1749",50,27,21,5,22,7,14,7,14,2,43,15
"2672569",29,14,8,1,21,10,1,11,10,2,34,5
"29405",20,8,24,2,27,9,3,14,17,2,2,3
"630515",28,15,20,5,22,18,5,28,12,1,5,9
"1744",39,43,23,4,49,34,59,102,56,2,11,9
"119981",60,15,16,9,16,9,17,26,36,1,8,5
"2662261",37,20,16,8,8,5,8,14,15,3,5,3
"675864",24,25,36,9,30,12,15,17,11,2,5,9
"33910",82,28,79,4,70,13,19,22,15,17,34,32
"208439",19,17,11,56,6,1,10,21,7,15,3,77
"2742131",70,23,37,3,18,10,12,27,23,3,12,9
"2653857",71,31,23,7,41,26,13,28,45,2,22,13
"1896961",42,14,21,12,12,13,5,26,32,2,6,14
"1804986",54,17,21,10,133,22,12,12,24,3,11,12
"129921",48,14,43,4,62,37,22,15,34,2,28,9
"31958",33,15,10,3,8,6,1,20,24,1,15,4
"1814",34,10,22,12,24,9,4,20,19,1,9,4
"2736640",39,36,22,3,12,9,6,19,29,8,2,11
"1641402",46,26,15,0,26,8,2,23,42,6,29,5
"445576",16,3,12,1,18,8,2,12,14,2,18,9
"240495",46,12,18,2,22,3,3,12,32,10,21,3
"2074",33,35,9,4,11,14,2,22,9,3,2,9
"40567",0,27,20,0,28,0,5,25,7,19,0,0
"2665642",36,3,6,1,11,3,3,3,19,12,5,3
"2719023",11,5,2,0,7,12,2,10,12,2,3,3
"1836",46,22,22,13,32,3,3,17,46,2,23,10
"1653480",18,10,7,3,12,3,7,16,18,6,5,3
"340345",30,19,14,5,12,13,20,29,20,6,2,9
"103733",68,29,15,7,21,4,11,20,40,4,31,9
"103731",48,29,25,34,26,29,24,28,35,1,23,0
"2528243",27,4,13,1,16,2,6,2,25,2,2,1
"632569",40,19,20,6,18,16,13,19,22,1,5,3
"40989",22,4,11,2,9,3,0,4,11,1,8,3
"43357",58,25,17,12,59,3,23,15,39,4,16,18
"2020",36,9,21,7,18,7,9,10,18,40,4,2
"2591108",53,21,36,11,32,8,5,8,17,3,6,4
"2742128",77,16,31,9,43,16,3,18,34,2,15,8
"46165",84,8,29,15,18,18,8,17,50,3,25,2
"1411117",55,23,21,4,23,6,12,31,22,1,32,7
"2014",78,56,28,16,34,10,21,37,47,8,26,19
"53437",40,10,5,12,28,11,5,11,5,1,8,1
"2498135",64,6,11,5,7,19,7,18,12,6,7,6
"1909395",68,38,59,19,86,15,13,48,50,4,29,13
"2656914",64,14,28,20,38,13,20,27,66,4,16,4
"2202249",56,46,14,12,19,21,5,22,36,1,14,8
"2001",77,31,44,11,34,47,9,35,54,1,11,10
"479978",60,15,2,3,45,9,6,9,14,12,2,4
"2675222",29,21,7,1,22,7,1,13,25,3,14,23
"2039870",44,6,11,10,60,7,0,11,33,4,9,2
"356851",25,23,5,7,12,0,3,26,15,3,4,6
"47853",31,11,23,7,65,20,13,25,24,3,13,3
"261654",30,27,13,5,19,16,8,9,35,2,5,36
"307121",27,19,16,8,31,4,0,17,22,2,2,3
"356852",55,13,13,2,21,3,5,9,20,2,13,1
"47865",35,16,10,4,25,0,2,11,12,2,10,3
"47857",59,4,9,10,38,3,2,8,7,2,3,0
"1877",38,7,6,6,21,1,2,15,17,2,8,3
"47858",16,16,13,4,11,4,4,13,20,1,2,5
"47875",35,7,24,6,19,2,4,10,10,1,3,5
"299146",17,8,15,0,7,1,1,8,9,1,3,1
"1881",81,5,11,2,3,3,16,10,20,1,2,4
"649831",85,30,19,15,42,42,4,28,19,3,9,11
"946334",73,24,41,21,44,20,18,38,73,2,32,19
"113562",44,21,27,10,19,12,7,18,21,3,13,8
"196914",81,16,26,13,21,19,19,29,31,1,8,1
"1867",68,20,15,24,15,5,4,13,26,1,19,5
"1003110",27,8,12,8,11,3,1,13,27,9,19,2
"1076124",20,20,55,11,50,26,8,11,26,2,24,9
"624315",73,27,37,5,36,5,8,28,18,1,5,12
"168697",22,10,2,10,6,2,3,9,11,1,8,6
"1884904",2,5,9,1,0,7,32,17,4,10,3,14
"1884914",4,2,4,2,24,13,70,16,24,3,9,9
"1884907",0,6,2,0,12,7,42,13,1,2,4,2
"1884905",7,21,10,2,9,7,12,28,13,2,7,3
"573600",3,13,19,0,1,5,15,6,2,1,1,16
"298653",33,30,20,9,16,14,30,21,42,3,12,14
"710111",43,39,17,2,25,10,4,18,28,1,5,3
"1859",8,12,5,5,11,15,8,10,15,4,26,5
"298654",52,31,17,9,35,5,4,17,29,3,10,4
"2716812",42,17,18,3,7,1,6,15,11,1,0,3
"106370",25,14,14,12,10,8,5,11,17,1,16,7
"1907575",18,9,16,2,15,3,7,10,25,1,8,3
"1861",30,17,18,4,42,4,0,18,12,2,5,5
"2762325",10,12,18,5,9,5,5,17,14,1,9,10
"53461",53,39,6,11,32,2,4,11,17,1,9,12
"28049",15,13,14,4,12,10,26,10,15,2,18,8
"131568",38,41,12,7,27,12,13,17,17,1,12,19
"1798224",71,7,36,6,14,10,12,19,28,1,5,1
"2006",26,4,6,6,17,7,4,4,10,1,4,2
"304895",102,33,42,8,34,29,12,41,65,1,18,11
"283811",54,23,45,4,97,51,16,22,24,1,10,5
"414996",20,18,8,4,11,5,2,7,10,1,1,4
"84112",2635,25881,7281,7896,19765,22103,500,18214,2978,8700,7685,5745
"2690837",307,853,196,147,389,291,2997,466,153,142,158,108
"502558",215,520,130,22,271,48,214,118,232,14,26,113
"471189",3024,1157,322,1257,872,1346,904,2317,1337,312,375,2149
"1335613",750,152,91,562,86,1234,617,2613,499,19,39,216
"1870985",310,208,125,51,130,127,205,176,83,44,29,47
"446660",833,4457,637,44,106,498,113,2125,1079,14,50,571
"2707299",5948,12698,1229,36,253,1940,114,6801,2934,7,38,4601
"79604",181,101,142,21,51,71,168,213,118,20,58,83
"84110",240,430,154,55,202,118,169,169,185,12,69,85
"1944646",113,96,46,15,121,90,992,277,59,8,103,86
"84163",44,31,22,4,23,31,40,32,43,4,36,30
"74426",34577,139445,673,245,817,711,147775,2501,60649,184,367,25941
"33871",117,35,88,13,27,53,50,72,55,10,7,34
"2109685",396,497,131,50,197,38,569,259,347,17,77,101
"2779519",199,106,111,31,103,74,58,135,102,10,31,36
"712411",154,72,61,12,51,45,29,98,106,1,21,20
"604330",439,151,167,43,123,83,224,179,183,24,83,79
"1805478",461,266,222,45,190,131,70,227,254,17,59,62
"133926",216,129,70,19,61,46,34,138,121,6,33,41
"1382",48,215,87,12,59,60,100,153,46,26,132,32
"1871022",392,115,105,48,221,70,664,172,191,18,56,41
"2003188",243,316,162,20,92,38,367,120,149,2,30,59
"49319",65,61,26,7,68,22,42,21,61,13,16,14
"2653852",43,11,21,60,22,5,4,15,26,1,5,2
"2051957",19,17,8,6,15,9,2,4,7,1,2,3
"1670830",50,15,15,4,13,11,2,9,6,3,10,3
"1670831",11,5,8,3,15,15,2,6,14,3,7,6
"1608957",85,19,23,15,32,2,5,37,28,1,12,6
"2789776",29,13,17,4,10,7,6,6,9,2,5,4
"467094",43,16,22,1,7,7,7,7,23,1,13,9
"191495",78,50,37,6,39,36,2,24,36,1,16,10
"166309",8,17,15,0,3,7,40,3,7,24,5,9
"221345",29,32,2,6,7,6,2,10,7,28,0,16
"1400865",15,19,11,2,6,17,26,16,2,6,4,2
"1173263",0,1,6,1,6,2,11,2,2,6,10,2
"374981",4,37,27,2,10,12,55,14,4,5,22,7
"1280380",10,5,9,4,6,15,11,7,13,3,3,4
"1442555",49,4,5,1,3,6,10,4,9,3,5,3
"1442556",14,18,11,5,25,7,23,7,17,3,9,7
"110662",0,0,14,1,7,2,3,1,1,2,0,0
"195250",20,5,18,0,6,14,3,30,16,2,1,1
"232348",22,9,15,6,15,3,0,20,12,2,3,3
"32051",25,3,5,0,0,2,6,0,8,2,5,4
"1050635",1,1,1,0,9,2,0,2,2,1,0,3
"321327",38,24,11,13,32,4,0,25,10,1,3,2
"321332",33,37,4,5,10,4,4,12,25,1,9,43
"2751171",11,27,3,9,22,5,3,3,4,1,5,2
"2511069",17,12,15,4,21,4,1,11,9,1,2,1
"1050638",6,17,13,1,5,12,5,12,12,1,7,6
"1050646",5,2,6,0,12,6,33,7,0,1,4,0
"1968775",0,5,0,1,10,0,1,1,0,1,2,0
"1442552",0,0,0,0,0,0,0,7,0,5,8,0
"33070",6,9,12,7,7,17,51,5,30,11,12,8
"32046",34,25,0,6,16,5,0,14,16,11,12,0
"146786",23,15,16,2,11,17,1,4,9,4,4,6
"261284",44,17,11,6,27,4,5,30,24,2,3,10
"292566",8,11,11,3,17,8,9,10,4,1,10,5
"1184",8,11,12,4,8,11,12,9,3,13,22,11
"111781",10,14,1,3,5,2,4,15,13,6,4,7
"1752064",14,33,17,3,3,6,9,21,15,3,15,2
"1147",8,14,3,0,20,7,7,10,11,20,5,7
"1173032",30,10,7,3,14,20,3,25,4,13,12,2
"155978",4,11,4,16,5,7,7,21,12,12,9,21
"685565",26,22,10,2,28,15,3,15,13,6,24,6
"1219",43,95,57,11,32,14,88,55,69,5,35,39
"1209493",12,14,21,6,18,8,21,50,25,5,8,7
"2737172",37,18,3,8,17,17,7,16,21,2,8,4
"1973475",6,8,18,4,28,29,47,22,1,16,6,7
"1869241",18,33,40,13,31,24,74,40,20,6,7,3
"317936",2,9,38,0,20,16,7,1,8,5,18,4
"76335",10,9,5,2,1,9,20,91,7,4,2,7
"2576903",0,36,98,0,9,11,10,6,9,3,5,37
"2005458",23,13,15,4,7,0,24,13,3,2,2,7
"2576902",16,8,7,2,7,11,24,29,32,1,7,1
"1261031",12,9,3,0,10,0,1,18,14,1,6,3
"264686",5,68,25,2,22,12,35,17,7,9,1,16
"446679",8,7,20,0,4,2,5,7,14,1,0,8
"374162",20,18,37,3,8,28,12,9,4,3,5,5
"1164",1,13,16,20,21,7,61,9,13,7,10,24
"1647413",12,13,19,1,7,25,35,24,0,2,22,5
"1165",12,8,1,2,17,14,27,23,10,2,3,6
"99598",6,12,2,2,7,4,19,27,26,7,7,2
"1954172",9,15,40,3,33,31,31,43,37,9,7,25
"2005462",9,16,19,1,10,10,19,12,7,2,17,8
"1954171",36,21,8,31,14,10,14,4,14,3,19,7
"1337936",6,9,11,2,6,9,117,19,3,1,9,0
"1973486",27,51,25,7,26,21,66,49,26,11,16,20
"938406",9,11,13,8,4,10,11,5,12,13,1,9
"32054",16,17,8,1,14,19,28,9,3,1,15,10
"109266",2,13,16,0,33,3,12,22,5,6,8,3
"289435",7,20,22,3,6,2,14,11,24,5,13,18
"312883",6,2,0,0,0,7,0,3,5,2,0,0
"747548",5,10,6,0,3,0,5,4,3,2,0,1
"70799",2,25,16,7,1,7,7,6,11,1,37,11
"2005456",4,4,2,2,21,10,81,17,4,13,5,2
"1752063",15,12,7,1,2,15,70,15,18,1,3,4
"2099387",21,23,24,4,14,16,70,36,17,11,12,17
