"","G45068","G45227","G45123","G45117","G45099","G45071","G45226","G45250","G45108","G45057","G45075","G45092"
"55197",11,12,9,1,1,28,32,13,13,2,13,21
"2172098",43,51,17,2,11,36,52,27,19,1,35,7
"1355330",14,30,10,2,8,3,24,11,8,1,24,2
"2686361",22,12,70,5,21,35,21,10,17,26,45,29
"1312072",13,24,11,1,6,9,30,7,20,13,23,8
"1336804",6,12,13,10,14,11,116,18,12,8,9,4
"2058137",9,5,9,2,7,13,67,16,10,7,73,10
"754397",12,6,23,2,7,31,37,9,8,6,7,6
"313598",17,10,8,4,4,5,21,6,13,3,19,3
"2738844",15,11,20,2,7,9,27,20,24,3,12,2
"1896175",10,2,5,6,4,7,4,2,10,7,2,0
"996801",5,6,1,1,9,15,8,10,12,8,28,1
"1774273",7,24,17,18,9,5,37,26,14,6,6,8
"1888915",8,18,8,5,2,8,36,8,10,2,4,12
"1316596",21,7,11,5,3,19,7,9,29,18,111,38
"1019",50,14,5,18,20,67,47,92,41,23,73,35
"1848904",23,38,9,35,2,9,79,23,25,15,129,78
"28189",19,32,8,1,25,30,28,11,45,19,76,1
"28188",26,31,11,2,15,31,76,22,36,12,55,5
"1017",24,12,3,2,4,15,25,8,28,4,41,9
"754417",4,13,21,2,15,12,39,12,13,8,16,5
"754409",12,18,17,2,5,12,12,40,34,6,23,9
"2686077",62,3,15,16,19,10,29,7,32,16,49,5
"1382466",14,6,4,0,12,6,4,8,8,16,15,7
"2697010",3,5,9,6,8,4,30,7,7,14,50,6
"2686078",16,21,7,0,4,20,1,14,25,5,26,4
"313603",19,10,17,1,1,4,13,10,17,27,17,3
"1836467",21,9,5,32,9,13,21,21,12,1,76,12
"1644130",13,19,4,0,13,21,106,19,7,9,7,12
"1178778",38,34,23,6,17,24,14,20,19,5,54,6
"320912",12,3,47,0,23,14,35,43,24,17,21,0
"76832",64,43,9,3,7,22,4,9,66,22,38,0
"2572594",14,20,13,2,0,12,18,30,18,6,27,22
"1458492",0,2,8,0,0,0,2,0,1,8,0,4
"702745",13,29,4,1,18,17,63,27,40,9,72,11
"256",9,28,8,4,2,4,19,4,18,2,14,1
"1336795",12,10,11,6,17,14,55,28,9,11,5,9
"2686363",14,9,11,9,6,30,41,31,19,7,123,6
"1336794",9,10,2,2,7,8,1,4,7,5,29,3
"1798225",7,9,20,4,1,6,11,61,23,1,39,8
"320324",8,12,25,1,4,14,14,41,25,20,75,37
"2594004",16,10,6,1,9,11,25,3,23,3,46,6
"2736252",15,11,10,5,11,31,30,20,14,15,41,6
"1714860",17,23,9,3,12,18,119,37,28,9,13,18
"1714848",15,19,10,2,11,13,24,26,22,9,22,5
"1714849",19,15,10,6,17,19,24,28,24,7,18,4
"398743",58,21,14,5,17,57,147,32,36,39,141,43
"2027857",20,28,11,18,14,10,69,21,12,36,95,36
"2608253",4,11,14,14,4,7,29,16,6,10,4,6
"1336802",19,11,33,3,16,16,30,15,10,4,26,27
"2058134",4,17,1,6,5,2,64,18,18,2,35,3
"331648",19,5,20,2,3,4,23,75,12,11,32,11
"319236",0,0,0,0,2,0,0,0,11,5,18,0
"2126553",23,15,18,1,17,11,55,32,32,8,46,5
"1913577",7,3,8,3,10,11,113,5,5,7,41,4
"279359",8,34,6,18,15,19,35,29,35,7,69,3
"1250205",6,4,5,5,8,5,12,100,8,5,12,6
"411153",8,13,19,4,36,4,83,38,29,3,165,5
"1486245",19,1,37,14,10,7,28,33,50,1,85,18
"2686365",14,6,14,22,4,12,22,13,27,11,57,29
"2686366",7,9,22,22,7,14,34,14,16,8,62,9
"1736674",12,3,4,3,14,7,53,3,22,10,35,9
"584609",13,8,10,18,14,16,27,11,34,8,27,27
"2358479",6,8,1,0,14,23,12,7,6,6,11,5
"104268",6,8,12,51,6,1,16,3,1,6,9,3
"1850252",10,12,7,1,14,13,16,15,3,3,31,12
"1790137",18,10,16,2,8,17,17,44,36,22,53,4
"979",11,19,5,3,6,18,18,10,21,13,9,7
"59600",10,38,40,0,8,16,23,33,15,5,38,14
"76594",6,14,8,4,11,7,21,22,15,3,27,0
"2282170",14,15,11,22,16,12,11,17,17,16,38,11
"1218801",20,11,25,12,3,6,7,11,11,1,26,12
"1336796",15,42,34,3,10,18,144,48,19,15,16,46
"2173169",6,13,2,1,9,4,10,16,10,8,17,3
"983548",2,2,10,2,7,6,2,1,25,5,35,1
"2719912",12,22,30,17,8,14,84,25,31,12,84,9
"2058135",10,17,17,5,18,9,22,10,13,10,16,8
"639310",13,6,20,2,3,14,22,7,3,1,0,0
"2058175",19,36,9,19,12,11,32,7,14,6,48,9
"2585771",14,14,3,2,3,3,73,8,11,4,21,4
"143223",9,12,13,5,9,22,12,12,18,6,58,1
"1729720",11,17,1,36,15,13,13,12,47,4,95,6
"1383885",4,35,23,16,10,10,24,6,5,10,12,28
"2529032",24,23,4,7,18,10,101,19,20,9,45,5
"2494375",19,13,7,5,11,8,22,13,22,7,25,6
"101385",18,4,12,1,15,13,13,24,28,1,11,11
"754429",29,17,20,2,1,11,12,12,18,7,33,3
"2708110",9,3,0,0,0,0,93,0,38,7,0,0
"516051",16,21,16,0,10,7,15,20,13,4,13,2
"2698672",38,12,19,70,9,27,104,10,24,2,129,18
"2570561",10,21,21,0,15,28,116,6,21,5,39,11
"1850246",16,11,6,19,23,17,35,18,14,5,71,25
"1170699",17,16,24,30,7,9,7,9,15,5,23,2
"762954",21,20,5,0,1,13,2,10,15,4,19,3
"343403",10,8,4,0,1,6,40,13,23,4,32,6
"1761453",27,16,5,5,2,18,12,17,27,4,10,4
"2057808",8,3,2,0,11,12,21,19,5,2,11,14
"1486034",24,16,8,1,3,6,65,8,14,1,11,8
"2069432",25,8,28,6,7,4,13,17,22,3,64,12
"1803846",15,6,24,24,11,18,10,44,22,3,25,11
"1622118",8,20,9,3,18,11,42,36,15,3,28,12
"1936081",22,12,66,3,16,13,49,7,25,2,35,1
"616991",27,11,21,3,5,16,16,19,22,2,20,18
"2767188",46,11,12,2,16,7,22,14,65,1,135,7
"2049305",13,4,6,1,4,28,29,22,18,1,31,27
"2562285",7,7,4,2,14,12,14,10,16,1,38,6
"1453352",12,2,2,0,5,5,11,5,13,1,39,7
"2094025",22,1,0,2,3,13,15,1,7,1,47,9
"63186",19,18,10,10,20,24,55,6,34,1,80,9
"57029",15,20,4,1,6,1,28,13,11,1,6,8
"2724619",35,42,34,3,18,16,69,113,36,47,41,31
"1932669",11,10,25,11,38,25,126,88,45,24,38,26
"2038776",13,38,38,1,7,6,36,26,16,9,16,20
"878220",12,64,59,11,11,9,68,11,9,8,99,32
"1721091",5,14,11,3,11,53,104,12,13,7,77,8
"2487065",12,11,14,5,28,29,30,10,12,7,23,24
"1871047",42,33,13,28,16,22,62,39,27,6,61,9
"2547600",20,15,0,28,6,10,16,8,11,5,30,6
"2478663",13,23,6,1,21,28,33,36,24,5,67,9
"2015076",15,30,43,3,10,32,147,22,57,4,36,16
"2487063",13,41,6,35,16,4,11,5,26,7,44,8
"2758037",20,8,4,0,0,16,10,15,24,2,63,0
"2713414",26,9,34,17,2,33,16,91,22,2,89,3
"2039166",33,23,3,4,3,11,17,20,18,1,41,17
"253",33,72,39,51,48,80,128,191,66,47,230,102
"250",43,70,65,5,53,65,57,55,49,36,113,16
"1493872",19,37,8,7,70,38,56,23,38,27,27,10
"1265445",29,29,19,16,16,8,69,29,26,14,26,4
"1124835",29,27,34,2,31,23,60,51,36,17,94,53
"246",11,6,4,0,7,27,47,31,25,16,48,6
"1324352",31,52,18,3,38,47,121,42,34,12,72,35
"1685010",14,39,27,13,35,14,76,47,33,12,25,31
"651561",21,13,22,5,11,11,20,12,19,10,61,29
"1141221",8,9,14,0,11,20,48,41,14,7,42,12
"2497456",16,25,36,19,25,40,111,62,45,5,20,38
"1241978",47,21,22,3,20,50,103,55,26,8,48,42
"2754694",14,4,15,0,8,0,49,14,10,7,22,3
"1241982",6,8,20,1,24,9,24,43,25,9,12,20
"112234",30,22,9,2,24,18,67,34,18,4,33,5
"558152",27,19,6,9,42,12,40,7,31,2,47,23
"421525",63,4,7,0,15,46,16,19,17,20,28,3
"266749",2,41,20,3,9,11,71,41,18,7,12,8
"266748",8,29,22,1,3,14,7,4,8,5,13,2
"2487074",10,21,3,2,8,19,11,10,21,2,13,7
"1241979",19,17,5,253,18,5,15,23,29,1,15,5
"1241981",26,44,25,3,13,25,41,91,32,10,65,19
"2487072",14,49,62,75,7,11,14,6,44,6,27,37
"536441",22,14,31,17,154,15,52,26,29,8,61,7
"28251",38,17,19,46,834,34,91,59,76,73,342,6
"247",26,27,60,6,32,62,129,48,27,28,77,16
"343874",7,25,35,9,18,22,27,52,36,22,102,1
"1628248",23,20,4,2,12,9,43,6,17,6,10,4
"172045",27,46,49,10,36,30,93,95,50,25,40,21
"1117645",58,70,48,38,94,63,150,31,48,6,169,18
"1756149",0,36,17,0,0,26,23,11,16,9,17,9
"2583851",9,16,8,17,2,7,20,2,24,1,57,3
"2575699",1,41,23,0,2,2,17,8,4,1,40,21
"238",16,40,34,79,34,23,109,34,42,2,44,27
"1756150",12,13,6,3,4,29,28,30,22,1,45,2
"2500547",10,7,22,5,26,31,60,14,29,15,54,14
"2656760",28,0,5,0,4,1,17,4,12,1,36,0
"34085",32,16,39,11,110,11,184,19,38,7,32,24
"1014",7,20,7,1,21,2,6,3,17,3,17,2
"1585976",6,19,3,1,4,27,7,6,10,2,17,1
"1118202",32,7,12,30,36,12,62,10,40,1,34,7
"1653831",92,90,115,30,54,73,273,107,90,37,131,47
"39768",3,8,0,0,2,0,2,0,0,4,15,0
"1186051",0,1,0,2,2,0,0,2,0,1,1,0
"191579",33,24,11,38,11,10,34,16,31,12,33,25
"1415657",4,2,0,0,1,2,1,5,1,3,3,1
"336810",5,7,4,1,6,6,8,7,1,2,2,2
"2520506",11,14,3,18,7,16,37,13,35,14,92,65
"2666025",20,24,17,5,2,27,70,24,30,9,76,13
"2710596",18,32,20,8,11,18,20,22,18,7,39,14
"2745947",37,23,16,1,14,11,8,15,33,4,45,5
"2692134",49,23,66,2,11,10,40,53,40,3,73,10
"2728024",84,8,18,2,29,14,17,33,56,2,27,16
"1211326",30,15,31,6,15,10,17,8,13,15,28,12
"1178516",44,6,11,3,19,34,11,36,44,5,26,11
"2057025",21,16,23,6,38,23,72,9,29,4,86,16
"1379870",33,26,57,104,14,13,19,24,38,3,81,25
"564064",29,18,10,7,13,18,20,19,31,1,57,8
"1834519",65,40,11,26,12,33,36,23,55,36,75,22
"651143",79,33,13,6,15,12,47,17,55,7,44,12
"998844",12,14,14,4,8,2,9,19,14,35,78,7
"106",38,45,18,51,30,56,74,35,71,19,119,16
"2259595",17,8,60,54,7,4,27,21,29,6,48,15
"2268026",36,19,13,16,4,23,23,8,49,1,24,3
"985",30,16,9,6,19,39,66,47,17,15,68,22
"316068",17,7,34,21,20,16,133,43,41,8,56,16
"2704465",42,52,40,18,6,45,72,12,68,7,123,25
"1784714",20,14,11,16,16,21,12,20,12,4,8,9
"94254",99,44,21,25,32,72,26,40,85,3,96,11
"1356852",34,21,22,12,31,22,56,17,45,25,76,6
"2675878",26,23,11,0,14,34,8,17,20,20,27,13
"2714932",70,31,0,0,20,31,11,16,34,14,39,3
"1484116",48,17,16,2,19,7,22,12,44,6,12,12
"2675877",47,11,7,6,18,9,14,9,13,4,39,23
"2584940",54,4,63,42,21,33,21,50,40,3,83,19
"1484118",86,31,30,7,32,9,20,24,48,3,18,14
"2761579",39,13,12,6,20,13,5,12,21,2,38,9
"2735321",30,12,8,19,30,12,44,30,34,2,74,13
"2697562",46,16,16,2,27,1,8,15,61,2,40,9
"1385664",27,18,10,4,8,0,16,10,19,2,106,11
"2596915",63,15,18,21,38,9,29,16,17,1,95,9
"2319843",67,11,10,5,40,34,14,29,39,17,4,6
"1446467",26,11,15,9,15,12,10,8,29,3,29,10
"2502781",69,18,17,13,25,24,19,24,49,2,64,27
"1850093",74,27,30,6,16,10,49,19,67,2,29,24
"1385715",63,21,6,3,10,9,27,15,78,2,57,16
"2615203",57,1,40,3,45,9,26,11,67,1,129,9
"1411621",62,49,40,63,130,28,19,27,56,1,70,22
"2571030",41,49,37,56,29,37,75,124,69,30,82,77
"400092",20,21,10,16,19,25,54,32,42,4,49,21
"2694929",55,18,15,4,17,21,14,24,45,3,53,9
"2694930",27,10,9,8,15,24,31,7,26,2,58,5
"388950",55,9,15,0,27,13,33,13,55,2,49,15
"2086471",17,4,9,6,20,22,21,9,29,20,22,6
"2745197",21,5,16,15,16,9,63,36,33,8,37,8
"2698458",45,17,38,10,6,13,70,20,26,8,128,13
"1379909",42,12,16,16,12,18,38,21,45,4,43,29
"1379910",29,36,29,5,14,4,73,17,29,1,27,32
"512763",49,13,12,11,10,18,6,28,33,2,59,2
"280473",25,53,11,18,29,40,54,18,43,23,18,12
"2591634",28,21,14,2,11,18,22,29,20,8,67,38
"390884",58,26,17,11,10,28,41,71,32,6,151,12
"1795355",23,19,16,25,36,35,82,24,33,4,48,5
"1807691",24,29,9,48,17,13,73,30,45,3,73,3
"2772483",33,33,13,37,31,37,40,82,34,13,55,21
"1727163",17,4,19,0,13,6,14,13,39,5,39,6
"388413",15,19,19,6,11,21,20,29,13,2,46,35
"104",17,18,13,23,5,11,23,11,19,11,9,4
"320787",25,12,16,13,13,4,17,34,29,7,24,13
"232259",20,39,10,2,6,10,88,75,21,4,19,22
"1191459",23,36,13,26,29,27,34,14,38,24,176,17
"2494373",24,40,26,42,14,23,17,17,24,19,87,53
"1006",12,14,24,6,6,26,81,12,13,16,22,2
"1267423",31,23,25,12,15,25,69,26,43,12,31,14
"999",14,14,14,1,31,16,67,14,19,7,24,6
"281120",9,4,5,1,2,6,4,2,3,4,4,3
"247481",1,3,1,0,0,2,1,1,3,1,0,1
"2321403",89,8,15,33,14,27,26,34,42,2,66,15
"2605747",12,25,7,40,33,20,98,36,27,37,13,1
"1727164",31,19,16,25,10,19,26,22,34,21,134,10
"2714940",34,18,11,28,19,22,60,12,20,8,174,4
"2766984",28,25,6,6,17,20,18,10,10,7,32,5
"2789740",28,16,4,5,7,9,32,17,38,3,32,11
"2578106",17,33,5,27,14,36,50,16,13,2,29,14
"2482728",9,6,10,2,6,23,16,6,22,2,93,6
"2201271",32,19,11,24,18,84,54,19,37,2,149,23
"332999",29,31,25,14,17,26,64,33,44,50,36,27
"984",31,6,21,13,12,11,21,11,19,22,158,32
"430522",42,19,61,8,27,18,54,39,15,11,87,13
"188932",22,29,44,19,18,59,55,28,67,11,52,26
"363852",25,26,43,4,11,23,53,19,45,5,36,10
"336820",26,38,37,1,5,22,27,86,29,1,74,19
"2027860",92,40,35,68,58,45,85,152,117,48,155,14
"1300914",39,25,10,21,21,10,15,11,30,10,32,9
"2728022",13,24,17,7,16,15,21,18,31,7,82,5
"2703789",47,24,11,2,7,21,35,29,35,5,10,3
"2305508",39,5,8,15,50,14,42,18,11,5,22,13
"2740462",56,19,35,46,28,41,11,41,62,1,110,15
"398053",22,10,35,14,4,17,41,5,24,28,80,8
"862126",49,8,32,7,59,36,95,40,48,19,101,21
"423351",68,31,20,19,19,49,34,76,62,19,47,15
"1234841",21,18,19,15,18,23,74,23,34,11,49,10
"1550579",11,8,17,12,19,31,47,31,40,2,109,16
"652787",41,22,21,42,33,12,29,35,32,2,45,5
"2557994",16,29,8,13,13,22,54,22,38,11,55,12
"2713573",63,45,33,20,22,55,89,30,53,8,116,17
"1538644",18,28,11,34,20,27,35,29,34,6,36,11
"2003121",10,27,30,0,0,3,31,7,6,10,33,7
"743722",25,13,19,19,26,60,99,17,85,38,25,60
"371142",18,16,40,0,22,29,63,22,39,25,36,6
"561061",15,25,30,1,9,10,9,7,23,10,15,2
"28454",34,0,3,44,10,28,59,12,42,19,105,90
"259",38,30,119,8,22,56,69,32,63,9,120,29
"797291",22,22,20,36,16,40,20,38,39,5,107,10
"649196",11,38,68,38,23,28,40,35,42,1,77,16
